transcript_id,exon_count,length
MSTRG.1.1:1:1.122741,3,628
MSTRG.1.2:1:0.987459,3,633
MSTRG.2.1:1:2.179694,3,277
MSTRG.3.1:1:1.119850,3,430
MSTRG.4.1:1:3.538088,2,267
MSTRG.5.1:1:0.884522,4,286
MSTRG.6.1:1:2.468475,3,317
MSTRG.7.1:1:2.459885,4,1042
MSTRG.7.2:1:7.889880,4,439
MSTRG.9.1:1:4.024717,2,300
MSTRG.10.1:1:1.698655,2,205
MSTRG.12.1:1:64.474861,9,3362
MSTRG.13.1:1:0.884522,2,269
MSTRG.14.1:1:2.681476,2,412
MSTRG.15.1:1:82.267670,8,1302
MSTRG.16.1:1:20.564314,3,269
MSTRG.17.1:1:54.761497,2,830
MSTRG.18.1:1:3.411237,2,258
MSTRG.19.1:1:4.082343,6,1032
MSTRG.20.1:1:64.108528,3,435
MSTRG.21.1:1:42.104591,4,1182
MSTRG.22.1:1:27.943645,3,2745
MSTRG.23.1:1:73.905983,1,1361
MSTRG.25.1:1:5.915777,4,412
MSTRG.26.1:1:2.799806,2,375
MSTRG.27.1:1:6.288553,3,356
MSTRG.28.1:1:12.462861,5,1390
MSTRG.28.2:1:1.416868,6,1536
MSTRG.28.3:1:1.431377,5,1641
MSTRG.29.1:1:18.412184,3,864
MSTRG.30.1:1:260.871460,1,277
MSTRG.31.1:1:27.780001,5,1040
MSTRG.31.2:1:545.152893,3,457
MSTRG.33.1:1:20.853649,5,518
MSTRG.33.2:1:5.742786,7,999
MSTRG.34.1:1:3.800975,3,609
MSTRG.36.1:1:1.672661,4,1450
MSTRG.37.1:1:1.603804,2,273
MSTRG.38.1:1:5.169509,4,662
MSTRG.39.1:1:3.045626,11,1947
MSTRG.40.1:1:9.466266,3,376
MSTRG.41.1:1:4.099565,6,1022
MSTRG.41.2:1:1.297397,7,872
MSTRG.41.3:1:1.382857,6,879
MSTRG.42.1:1:12.760397,8,1991
MSTRG.43.1:1:116.382385,2,1162
MSTRG.44.1:1:1.975371,2,1449
MSTRG.45.1:1:1.973227,2,1083
MSTRG.46.1:1:7.306327,2,515
MSTRG.47.1:1:9.153166,2,807
MSTRG.47.2:1:3.071247,3,396
MSTRG.48.1:1:15.494414,4,292
MSTRG.50.1:1:2.312134,3,829
MSTRG.51.1:1:2.445211,2,225
MSTRG.52.1:1:2.386601,2,275
MSTRG.53.1:1:4.226049,2,378
MSTRG.55.1:1:59.553982,3,511
MSTRG.55.2:1:9.618636,2,614
MSTRG.56.1:1:5.203832,5,1024
MSTRG.56.2:1:4.778333,5,1011
MSTRG.57.1:1:0.884522,2,264
MSTRG.58.1:1:234.089081,2,349
MSTRG.59.1:1:2.649834,2,237
MSTRG.60.1:1:16.230919,2,339
MSTRG.60.2:1:3.901217,2,320
MSTRG.61.1:1:4.051574,4,534
MSTRG.63.1:1:1.997725,2,205
MSTRG.66.1:1:2.061103,2,742
MSTRG.67.1:1:16.022549,2,376
MSTRG.68.1:1:1.991889,2,258
MSTRG.69.1:1:18.138882,3,596
MSTRG.70.1:1:32.220428,2,218
MSTRG.71.1:1:2.681873,2,250
MSTRG.69.2:1:12.316441,4,474
MSTRG.69.3:1:11.960039,3,590
MSTRG.72.1:1:4.059422,2,481
MSTRG.73.1:1:9.218684,1,225
MSTRG.74.1:1:3.614968,3,558
MSTRG.75.1:1:8.842477,3,645
MSTRG.76.1:1:48.617535,4,1796
MSTRG.76.2:1:173.996658,3,805
MSTRG.77.1:1:165.027496,1,525
MSTRG.78.1:1:4.339313,2,223
MSTRG.79.1:1:18.926691,4,596
MSTRG.80.1:1:11.485060,3,580
MSTRG.81.1:1:42.167881,9,2054
MSTRG.83.1:1:35.791397,2,209
MSTRG.84.1:1:1.590631,2,352
MSTRG.85.1:1:1.182080,2,434
MSTRG.86.1:1:4.742102,4,598
MSTRG.88.1:1:1.494257,2,248
MSTRG.89.1:1:17.734631,2,390
MSTRG.90.1:1:1.213058,2,350
MSTRG.91.1:1:2.679071,3,1734
MSTRG.92.1:1:15.053561,2,318
MSTRG.94.1:1:2.025759,3,696
MSTRG.95.1:1:3.560028,6,1233
MSTRG.96.1:1:2.237515,5,1603
MSTRG.98.1:1:1.886607,2,474
MSTRG.101.1:1:0.906030,2,329
MSTRG.103.1:1:2.815087,3,345
MSTRG.104.1:1:45.045620,2,313
MSTRG.105.1:1:9.907325,2,509
MSTRG.106.1:1:2.416984,2,572
MSTRG.107.1:1:19.381269,2,311
MSTRG.108.1:1:13.758475,5,856
MSTRG.108.2:1:8.300303,4,1091
MSTRG.109.1:1:5.495727,2,308
MSTRG.110.1:1:2.533741,2,203
MSTRG.111.1:1:14.863004,5,1144
MSTRG.111.2:1:9.022339,2,304
MSTRG.112.1:1:9.308986,2,518
MSTRG.113.1:1:2.353263,2,258
MSTRG.114.1:1:11.761052,3,322
MSTRG.115.1:1:3.794180,2,506
MSTRG.117.1:1:1.517537,2,271
MSTRG.118.1:1:4.138895,2,477
MSTRG.119.1:1:31.086399,3,1331
MSTRG.119.2:1:22.932507,4,1112
MSTRG.120.1:1:49.822399,3,306
MSTRG.120.2:1:7.653185,2,580
MSTRG.120.3:1:1.266325,3,335
MSTRG.121.1:1:239.666397,5,997
MSTRG.123.1:1:16.438498,5,595
MSTRG.123.2:1:1.169891,5,577
MSTRG.124.1:1:2.113568,2,362
MSTRG.125.1:1:13.005404,9,2474
MSTRG.126.1:1:1.999734,4,559
MSTRG.126.2:1:21.842037,4,515
MSTRG.127.1:1:6.007306,4,298
MSTRG.127.2:1:9.181593,13,2171
MSTRG.128.1:1:2.588528,3,340
MSTRG.129.1:1:2.749626,4,1151
MSTRG.130.1:1:240.181412,4,1338
MSTRG.131.1:1:21.682085,1,387
MSTRG.132.1:1:15.232974,5,1185
MSTRG.132.2:1:2.270137,5,1268
MSTRG.133.1:1:11.337189,9,1405
MSTRG.133.2:1:6.462733,10,1327
MSTRG.134.1:1:146.755341,2,376
MSTRG.135.1:1:33.969143,4,1010
MSTRG.136.1:1:3.630731,4,802
MSTRG.137.1:1:9.089150,5,2056
MSTRG.138.1:1:3.759276,4,980
MSTRG.138.2:1:1.802533,2,1134
MSTRG.139.1:1:0.884522,2,266
MSTRG.140.1:1:2.526893,2,405
MSTRG.141.1:1:2.322915,3,741
MSTRG.142.1:1:2.793911,3,1021
MSTRG.143.1:1:2.422971,2,257
MSTRG.144.1:1:5.300937,5,714
MSTRG.145.1:1:3.263836,2,358
MSTRG.146.1:1:4.492748,1,227
MSTRG.147.1:1:1.969877,2,207
MSTRG.149.1:1:2.029259,3,843
MSTRG.150.1:1:1.394823,3,208
MSTRG.152.1:1:4.865458,3,1506
MSTRG.154.1:1:22.949305,3,898
MSTRG.155.1:1:8.555698,4,1164
MSTRG.156.1:1:19.114635,3,601
MSTRG.156.2:1:4.003821,5,1406
MSTRG.157.1:1:2.296489,6,379
MSTRG.158.1:1:2.925462,2,514
MSTRG.159.1:1:4.092924,3,220
MSTRG.160.1:1:6.826804,2,415
MSTRG.161.1:1:5.135324,5,1174
MSTRG.161.2:1:3.102006,5,1150
MSTRG.164.1:1:25.302792,3,518
MSTRG.165.1:1:64.742149,2,478
MSTRG.165.2:1:4.264195,3,910
MSTRG.168.1:1:1.644588,2,398
MSTRG.169.1:1:16.633665,2,777
MSTRG.170.1:1:41.792233,1,271
MSTRG.171.1:1:2.181821,2,435
MSTRG.172.1:1:41.690937,2,1723
MSTRG.174.1:1:3.834948,2,219
MSTRG.175.1:1:0.947008,2,419
MSTRG.176.1:1:1.073240,2,241
MSTRG.177.1:1:13.830879,5,462
MSTRG.178.1:1:9.803408,3,422
MSTRG.179.1:1:4.030265,3,1267
MSTRG.180.1:1:1.091746,2,266
MSTRG.181.1:1:3.815511,2,406
MSTRG.182.1:1:4.121418,5,2488
MSTRG.183.1:1:1.938929,2,630
MSTRG.184.1:1:3.146593,5,1028
MSTRG.185.1:1:1.395396,3,535
MSTRG.186.1:1:1.095385,2,509
MSTRG.187.1:1:1.459833,2,477
MSTRG.188.1:1:1.063680,3,648
MSTRG.189.1:1:9.824011,6,808
MSTRG.190.1:1:8.850514,7,1446
MSTRG.190.2:1:3.285653,7,1433
MSTRG.191.1:1:1.676586,3,970
MSTRG.192.1:1:1.196566,3,474
MSTRG.193.1:1:2.753758,2,1439
MSTRG.182.2:1:2.942467,3,1063
MSTRG.194.1:1:2.548218,4,795
MSTRG.197.1:1:1.373610,2,255
MSTRG.198.1:1:3.018607,2,252
MSTRG.201.1:1:12.509839,2,1468
MSTRG.202.1:1:3.402113,2,644
MSTRG.203.1:1:12.493720,2,1523
MSTRG.204.1:1:49.331112,1,425
MSTRG.205.1:1:174.884583,2,1030
MSTRG.211.1:1:3.597995,2,251
MSTRG.213.1:1:3.841710,5,705
MSTRG.214.1:1:2.249257,2,571
MSTRG.215.1:1:1.228466,3,505
MSTRG.215.2:1:1.307524,2,591
MSTRG.216.1:1:4.672294,12,1556
MSTRG.216.2:1:3.847191,9,1991
MSTRG.218.1:1:5.932680,1,970
MSTRG.221.1:1:5.415037,2,1164
MSTRG.222.1:1:5.939841,2,340
MSTRG.222.2:1:1.026413,3,273
MSTRG.223.1:1:1.637560,2,370
MSTRG.224.1:1:6.055476,5,1049
MSTRG.225.1:1:2.162164,2,243
MSTRG.226.1:1:5.661354,3,854
MSTRG.227.1:1:10.354607,4,2188
MSTRG.228.1:1:72.099556,1,1388
MSTRG.229.1:1:17.854973,3,399
MSTRG.229.2:1:3.808286,2,654
MSTRG.230.1:1:23.776209,10,2030
MSTRG.231.1:1:11.725209,2,543
MSTRG.233.1:1:2.438853,3,758
MSTRG.234.1:1:4.567167,3,618
MSTRG.235.1:1:0.884522,2,225
MSTRG.236.1:1:0.884522,2,261
MSTRG.237.1:1:2.116195,2,372
MSTRG.238.1:1:5.464166,2,276
MSTRG.240.1:1:63.611439,2,372
MSTRG.240.2:1:23.338655,3,1814
MSTRG.240.3:1:19.364883,3,1621
MSTRG.240.4:1:82.607895,2,1256
MSTRG.240.5:1:74.157433,3,1113
MSTRG.241.1:1:1.420708,3,711
MSTRG.242.1:1:8.795635,6,1131
MSTRG.242.2:1:1.892810,4,1296
MSTRG.243.1:1:31.237185,1,441
MSTRG.244.1:1:5.868819,5,811
MSTRG.245.1:1:12.367198,3,951
MSTRG.246.1:1:3.548907,3,435
MSTRG.247.1:1:3.412399,3,753
MSTRG.248.1:1:3.248797,2,425
MSTRG.249.1:1:9.599827,7,2560
MSTRG.251.1:1:1.882922,3,1319
MSTRG.252.1:1:2.481218,3,1219
MSTRG.253.1:1:1.364699,2,371
MSTRG.254.1:1:1.799056,2,1724
MSTRG.255.1:1:3.746143,4,1390
MSTRG.254.2:1:2.016090,2,1139
MSTRG.256.1:1:19.120111,4,971
MSTRG.256.2:1:6.568303,7,1352
MSTRG.256.3:1:3.057230,5,908
MSTRG.256.4:1:29.479317,4,753
MSTRG.257.1:1:16.576870,10,1436
MSTRG.257.2:1:10.135340,3,257
MSTRG.258.1:1:363.089996,2,634
MSTRG.259.1:1:66.836838,6,1819
MSTRG.260.1:1:24.854851,2,2065
MSTRG.261.1:1:2.304243,2,552
MSTRG.262.1:1:3.858431,3,901
MSTRG.262.2:1:68.944397,3,500
MSTRG.263.1:1:73.241959,9,1421
MSTRG.264.1:1:45.866287,4,1355
MSTRG.264.2:1:2.288007,5,1296
MSTRG.266.1:1:22.134813,5,894
MSTRG.267.1:1:5.527555,4,626
MSTRG.268.1:1:27.382078,3,648
MSTRG.268.2:1:23.428511,4,593
MSTRG.269.1:1:5.463057,3,312
MSTRG.270.1:1:2.992315,7,1065
MSTRG.270.2:1:15.826118,6,955
MSTRG.271.1:1:33.035458,6,1761
MSTRG.271.2:1:37.951725,5,1039
MSTRG.271.3:1:3.916812,4,1007
MSTRG.272.1:1:13.092150,5,866
MSTRG.273.1:1:1.346146,3,571
MSTRG.274.1:1:2.031001,3,1067
MSTRG.275.1:1:45.602974,6,968
MSTRG.275.2:1:6.423833,5,1035
MSTRG.276.1:1:4.275429,3,797
MSTRG.276.2:1:69.833038,2,408
